Emo,CLDR Short Name,Other Keywords,theme,category,№,Code,sentimiento,confianzaSentimiento
👩‍🦳,woman: white hair,adult | white hair | woman,People & Body,person,215,U+1F469 U+200D U+1F9B3,POSITIVE,0.9410538077354431
🧑‍🦳,⊛ person: white hair,adult | gender-neutral | person | unspecified gender | white hair,People & Body,person,216,U+1F9D1 U+200D U+1F9B3,NEGATIVE,0.9915382862091064
👩‍🦲,woman: bald,adult | bald | woman,People & Body,person,217,U+1F469 U+200D U+1F9B2,NEGATIVE,0.9997062087059021
🧑‍🦲,⊛ person: bald,adult | bald | gender-neutral | person | unspecified gender,People & Body,person,218,U+1F9D1 U+200D U+1F9B2,NEGATIVE,0.9993923902511597
👱‍♀️,woman: blond hair,blond-haired woman | blonde | hair | woman | woman: blond hair,People & Body,person,219,U+1F471 U+200D U+2640 U+FE0F,POSITIVE,0.9982012510299683
👱‍♂️,man: blond hair,blond | blond-haired man | hair | man | man: blond hair,People & Body,person,220,U+1F471 U+200D U+2642 U+FE0F,POSITIVE,0.9983295798301697
🧓,older person,adult | gender-neutral | old | older person | unspecified gender,People & Body,person,221,U+1F9D3,NEGATIVE,0.9978548884391785
👴,old man,adult | man | old,People & Body,person,222,U+1F474,NEGATIVE,0.9985384941101074
👵,old woman,adult | old | woman,People & Body,person,223,U+1F475,NEGATIVE,0.9671722650527954
🙍,person frowning,frown | gesture | person frowning,People & Body,person-gesture,224,U+1F64D,NEGATIVE,0.9990610480308533
🙍‍♂️,man frowning,frowning | gesture | man,People & Body,person-gesture,225,U+1F64D U+200D U+2642 U+FE0F,NEGATIVE,0.9986298084259033
🙍‍♀️,woman frowning,frowning | gesture | woman,People & Body,person-gesture,226,U+1F64D U+200D U+2640 U+FE0F,NEGATIVE,0.9989020824432373
🙎,person pouting,gesture | person pouting | pouting,People & Body,person-gesture,227,U+1F64E,NEGATIVE,0.9971787929534912
🙎‍♂️,man pouting,gesture | man | pouting,People & Body,person-gesture,228,U+1F64E U+200D U+2642 U+FE0F,NEGATIVE,0.9930918216705322
🙎‍♀️,woman pouting,gesture | pouting | woman,People & Body,person-gesture,229,U+1F64E U+200D U+2640 U+FE0F,NEGATIVE,0.9948573112487793
🙅,person gesturing NO,forbidden | gesture | hand | person gesturing NO | prohibited,People & Body,person-gesture,230,U+1F645,NEGATIVE,0.9982824325561523
🙅‍♂️,man gesturing NO,forbidden | gesture | hand | man | man gesturing NO | prohibited,People & Body,person-gesture,231,U+1F645 U+200D U+2642 U+FE0F,NEGATIVE,0.9977700710296631
🙅‍♀️,woman gesturing NO,forbidden | gesture | hand | prohibited | woman | woman gesturing NO,People & Body,person-gesture,232,U+1F645 U+200D U+2640 U+FE0F,NEGATIVE,0.9970806241035461
🙆,person gesturing OK,gesture | hand | OK | person gesturing OK,People & Body,person-gesture,233,U+1F646,NEGATIVE,0.643796980381012
🙆‍♂️,man gesturing OK,gesture | hand | man | man gesturing OK | OK,People & Body,person-gesture,234,U+1F646 U+200D U+2642 U+FE0F,POSITIVE,0.8344132304191589
🙆‍♀️,woman gesturing OK,gesture | hand | OK | woman | woman gesturing OK,People & Body,person-gesture,235,U+1F646 U+200D U+2640 U+FE0F,NEGATIVE,0.5593888759613037
💁,person tipping hand,hand | help | information | person tipping hand | sassy | tipping,People & Body,person-gesture,236,U+1F481,POSITIVE,0.7873751521110535
💁‍♂️,man tipping hand,man | man tipping hand | sassy | tipping hand,People & Body,person-gesture,237,U+1F481 U+200D U+2642 U+FE0F,POSITIVE,0.9652718305587769
💁‍♀️,woman tipping hand,sassy | tipping hand | woman | woman tipping hand,People & Body,person-gesture,238,U+1F481 U+200D U+2640 U+FE0F,POSITIVE,0.9608380198478699
🙋,person raising hand,gesture | hand | happy | person raising hand | raised,People & Body,person-gesture,239,U+1F64B,POSITIVE,0.9994680285453796
🙋‍♂️,man raising hand,gesture | man | man raising hand | raising hand,People & Body,person-gesture,240,U+1F64B U+200D U+2642 U+FE0F,POSITIVE,0.996142566204071
🙋‍♀️,woman raising hand,gesture | raising hand | woman | woman raising hand,People & Body,person-gesture,241,U+1F64B U+200D U+2640 U+FE0F,POSITIVE,0.996951699256897
🧏,deaf person,accessibility | deaf | deaf person | ear | hear,People & Body,person-gesture,242,U+1F9CF,POSITIVE,0.9197957515716553
🧏‍♂️,deaf man,deaf | man,People & Body,person-gesture,243,U+1F9CF U+200D U+2642 U+FE0F,NEGATIVE,0.9981909394264221
🧏‍♀️,deaf woman,deaf | woman,People & Body,person-gesture,244,U+1F9CF U+200D U+2640 U+FE0F,NEGATIVE,0.9961114525794983
🙇,person bowing,apology | bow | gesture | person bowing | sorry,People & Body,person-gesture,245,U+1F647,NEGATIVE,0.9912393689155579
🙇‍♂️,man bowing,apology | bowing | favor | gesture | man | sorry,People & Body,person-gesture,246,U+1F647 U+200D U+2642 U+FE0F,POSITIVE,0.5317290425300598
🙇‍♀️,woman bowing,apology | bowing | favor | gesture | sorry | woman,People & Body,person-gesture,247,U+1F647 U+200D U+2640 U+FE0F,NEGATIVE,0.8661031126976013
🤦,person facepalming,disbelief | exasperation | face | palm | person facepalming,People & Body,person-gesture,248,U+1F926,NEGATIVE,0.9969755411148071
🤦‍♂️,man facepalming,disbelief | exasperation | facepalm | man | man facepalming,People & Body,person-gesture,249,U+1F926 U+200D U+2642 U+FE0F,NEGATIVE,0.9693126678466797
🤦‍♀️,woman facepalming,disbelief | exasperation | facepalm | woman | woman facepalming,People & Body,person-gesture,250,U+1F926 U+200D U+2640 U+FE0F,NEGATIVE,0.9840114712715149
🤷,person shrugging,doubt | ignorance | indifference | person shrugging | shrug,People & Body,person-gesture,251,U+1F937,NEGATIVE,0.9995796084403992
🤷‍♂️,man shrugging,doubt | ignorance | indifference | man | man shrugging | shrug,People & Body,person-gesture,252,U+1F937 U+200D U+2642 U+FE0F,NEGATIVE,0.9990550875663757
🤷‍♀️,woman shrugging,doubt | ignorance | indifference | shrug | woman | woman shrugging,People & Body,person-gesture,253,U+1F937 U+200D U+2640 U+FE0F,NEGATIVE,0.9994926452636719
🧑‍⚕️,⊛ health worker,doctor | health worker | healthcare | nurse | therapist,People & Body,person-role,254,U+1F9D1 U+200D U+2695 U+FE0F,POSITIVE,0.9971815347671509
👨‍⚕️,man health worker,doctor | healthcare | man | man health worker | nurse | therapist,People & Body,person-role,255,U+1F468 U+200D U+2695 U+FE0F,POSITIVE,0.9968562126159668
👩‍⚕️,woman health worker,doctor | healthcare | nurse | therapist | woman | woman health worker,People & Body,person-role,256,U+1F469 U+200D U+2695 U+FE0F,POSITIVE,0.9938608407974243
🧑‍🎓,⊛ student,graduate | student,People & Body,person-role,257,U+1F9D1 U+200D U+1F393,POSITIVE,0.9694768786430359
👨‍🎓,man student,graduate | man | student,People & Body,person-role,258,U+1F468 U+200D U+1F393,POSITIVE,0.9960739612579346
👩‍🎓,woman student,graduate | student | woman,People & Body,person-role,259,U+1F469 U+200D U+1F393,POSITIVE,0.9970241189002991
🧑‍🏫,⊛ teacher,instructor | professor | teacher,People & Body,person-role,260,U+1F9D1 U+200D U+1F3EB,POSITIVE,0.8605557680130005
👨‍🏫,man teacher,instructor | man | professor | teacher,People & Body,person-role,261,U+1F468 U+200D U+1F3EB,POSITIVE,0.9841756224632263
👩‍🏫,woman teacher,instructor | professor | teacher | woman,People & Body,person-role,262,U+1F469 U+200D U+1F3EB,POSITIVE,0.9728953242301941
🧑‍⚖️,⊛ judge,judge | scales,People & Body,person-role,263,U+1F9D1 U+200D U+2696 U+FE0F,POSITIVE,0.9484105706214905
👨‍⚖️,man judge,justice | man | man judge | scales,People & Body,person-role,264,U+1F468 U+200D U+2696 U+FE0F,POSITIVE,0.9989885687828064
👩‍⚖️,woman judge,judge | scales | woman,People & Body,person-role,265,U+1F469 U+200D U+2696 U+FE0F,POSITIVE,0.995644211769104
🧑‍🌾,⊛ farmer,farmer | gardener | rancher,People & Body,person-role,266,U+1F9D1 U+200D U+1F33E,POSITIVE,0.9932305812835693
👨‍🌾,man farmer,farmer | gardener | man | rancher,People & Body,person-role,267,U+1F468 U+200D U+1F33E,POSITIVE,0.9955102205276489
👩‍🌾,woman farmer,farmer | gardener | rancher | woman,People & Body,person-role,268,U+1F469 U+200D U+1F33E,POSITIVE,0.996211051940918
🧑‍🍳,⊛ cook,chef | cook,People & Body,person-role,269,U+1F9D1 U+200D U+1F373,POSITIVE,0.999288022518158
👨‍🍳,man cook,chef | cook | man,People & Body,person-role,270,U+1F468 U+200D U+1F373,POSITIVE,0.9989540576934814
👩‍🍳,woman cook,chef | cook | woman,People & Body,person-role,271,U+1F469 U+200D U+1F373,POSITIVE,0.9984207153320312
🧑‍🔧,⊛ mechanic,electrician | mechanic | plumber | tradesperson,People & Body,person-role,272,U+1F9D1 U+200D U+1F527,POSITIVE,0.9940846562385559
👨‍🔧,man mechanic,electrician | man | mechanic | plumber | tradesperson,People & Body,person-role,273,U+1F468 U+200D U+1F527,POSITIVE,0.9949382543563843
👩‍🔧,woman mechanic,electrician | mechanic | plumber | tradesperson | woman,People & Body,person-role,274,U+1F469 U+200D U+1F527,POSITIVE,0.9934451580047607
🧑‍🏭,⊛ factory worker,assembly | factory | industrial | worker,People & Body,person-role,275,U+1F9D1 U+200D U+1F3ED,POSITIVE,0.9747766256332397
👨‍🏭,man factory worker,assembly | factory | industrial | man | worker,People & Body,person-role,276,U+1F468 U+200D U+1F3ED,POSITIVE,0.9914581179618835
👩‍🏭,woman factory worker,assembly | factory | industrial | woman | worker,People & Body,person-role,277,U+1F469 U+200D U+1F3ED,POSITIVE,0.978644073009491
🧑‍💼,⊛ office worker,architect | business | manager | office worker | white-collar,People & Body,person-role,278,U+1F9D1 U+200D U+1F4BC,POSITIVE,0.9854679703712463
👨‍💼,man office worker,architect | business | man | man office worker | manager | white-collar,People & Body,person-role,279,U+1F468 U+200D U+1F4BC,POSITIVE,0.9985200762748718
👩‍💼,woman office worker,architect | business | manager | white-collar | woman | woman office worker,People & Body,person-role,280,U+1F469 U+200D U+1F4BC,POSITIVE,0.9923399686813354
🧑‍🔬,⊛ scientist,biologist | chemist | engineer | physicist | scientist,People & Body,person-role,281,U+1F9D1 U+200D U+1F52C,POSITIVE,0.9983525276184082
👨‍🔬,man scientist,biologist | chemist | engineer | man | physicist | scientist,People & Body,person-role,282,U+1F468 U+200D U+1F52C,POSITIVE,0.9988100528717041
👩‍🔬,woman scientist,biologist | chemist | engineer | physicist | scientist | woman,People & Body,person-role,283,U+1F469 U+200D U+1F52C,POSITIVE,0.9979178309440613
🧑‍💻,⊛ technologist,coder | developer | inventor | software | technologist,People & Body,person-role,284,U+1F9D1 U+200D U+1F4BB,POSITIVE,0.9996511936187744
👨‍💻,man technologist,coder | developer | inventor | man | software | technologist,People & Body,person-role,285,U+1F468 U+200D U+1F4BB,POSITIVE,0.9997802376747131
👩‍💻,woman technologist,coder | developer | inventor | software | technologist | woman,People & Body,person-role,286,U+1F469 U+200D U+1F4BB,POSITIVE,0.9985538125038147
🧑‍🎤,⊛ singer,actor | entertainer | rock | singer | star,People & Body,person-role,287,U+1F9D1 U+200D U+1F3A4,POSITIVE,0.9983805418014526
👨‍🎤,man singer,actor | entertainer | man | rock | singer | star,People & Body,person-role,288,U+1F468 U+200D U+1F3A4,POSITIVE,0.9984807372093201
👩‍🎤,woman singer,actor | entertainer | rock | singer | star | woman,People & Body,person-role,289,U+1F469 U+200D U+1F3A4,POSITIVE,0.9982495903968811
🧑‍🎨,⊛ artist,artist | palette,People & Body,person-role,290,U+1F9D1 U+200D U+1F3A8,POSITIVE,0.9998694658279419
👨‍🎨,man artist,artist | man | palette,People & Body,person-role,291,U+1F468 U+200D U+1F3A8,POSITIVE,0.999950647354126
👩‍🎨,woman artist,artist | palette | woman,People & Body,person-role,292,U+1F469 U+200D U+1F3A8,POSITIVE,0.9998180270195007
🧑‍✈️,⊛ pilot,pilot | plane,People & Body,person-role,293,U+1F9D1 U+200D U+2708 U+FE0F,POSITIVE,0.917669951915741
👨‍✈️,man pilot,man | pilot | plane,People & Body,person-role,294,U+1F468 U+200D U+2708 U+FE0F,POSITIVE,0.9896851778030396
👩‍✈️,woman pilot,pilot | plane | woman,People & Body,person-role,295,U+1F469 U+200D U+2708 U+FE0F,POSITIVE,0.9936589598655701
🧑‍🚀,⊛ astronaut,astronaut | rocket,People & Body,person-role,296,U+1F9D1 U+200D U+1F680,POSITIVE,0.9870473146438599
👨‍🚀,man astronaut,astronaut | man | rocket,People & Body,person-role,297,U+1F468 U+200D U+1F680,POSITIVE,0.997305154800415
👩‍🚀,woman astronaut,astronaut | rocket | woman,People & Body,person-role,298,U+1F469 U+200D U+1F680,POSITIVE,0.9989039897918701
🧑‍🚒,⊛ firefighter,firefighter | firetruck,People & Body,person-role,299,U+1F9D1 U+200D U+1F692,POSITIVE,0.9990205764770508
👨‍🚒,man firefighter,firefighter | firetruck | man,People & Body,person-role,300,U+1F468 U+200D U+1F692,POSITIVE,0.9996365308761597
👩‍🚒,woman firefighter,firefighter | firetruck | woman,People & Body,person-role,301,U+1F469 U+200D U+1F692,POSITIVE,0.999222993850708
👮,police officer,cop | officer | police,People & Body,person-role,302,U+1F46E,POSITIVE,0.9753379821777344
👮‍♂️,man police officer,cop | man | officer | police,People & Body,person-role,303,U+1F46E U+200D U+2642 U+FE0F,POSITIVE,0.9941032528877258
👮‍♀️,woman police officer,cop | officer | police | woman,People & Body,person-role,304,U+1F46E U+200D U+2640 U+FE0F,POSITIVE,0.9929022192955017
🕵,detective,detective | sleuth | spy,People & Body,person-role,305,U+1F575,POSITIVE,0.997931957244873
🕵️‍♂️,man detective,detective | man | sleuth | spy,People & Body,person-role,306,U+1F575 U+FE0F U+200D U+2642 U+FE0F,POSITIVE,0.997885525226593
🕵️‍♀️,woman detective,detective | sleuth | spy | woman,People & Body,person-role,307,U+1F575 U+FE0F U+200D U+2640 U+FE0F,POSITIVE,0.9993005990982056
💂,guard,guard,People & Body,person-role,308,U+1F482,POSITIVE,0.8734812140464783
💂‍♂️,man guard,guard | man,People & Body,person-role,309,U+1F482 U+200D U+2642 U+FE0F,POSITIVE,0.9549667239189148
💂‍♀️,woman guard,guard | woman,People & Body,person-role,310,U+1F482 U+200D U+2640 U+FE0F,POSITIVE,0.8187140226364136
👷,construction worker,construction | hat | worker,People & Body,person-role,311,U+1F477,POSITIVE,0.9984607696533203
👷‍♂️,man construction worker,construction | man | worker,People & Body,person-role,312,U+1F477 U+200D U+2642 U+FE0F,POSITIVE,0.999018669128418
👷‍♀️,woman construction worker,construction | woman | worker,People & Body,person-role,313,U+1F477 U+200D U+2640 U+FE0F,POSITIVE,0.9972296357154846
🤴,prince,prince,People & Body,person-role,314,U+1F934,POSITIVE,0.9969685673713684
👸,princess,fairy tale | fantasy | princess,People & Body,person-role,315,U+1F478,POSITIVE,0.9990652203559875
👳,person wearing turban,person wearing turban | turban,People & Body,person-role,316,U+1F473,NEGATIVE,0.9186539649963379
👳‍♂️,man wearing turban,man | man wearing turban | turban,People & Body,person-role,317,U+1F473 U+200D U+2642 U+FE0F,NEGATIVE,0.7649905681610107
👳‍♀️,woman wearing turban,turban | woman | woman wearing turban,People & Body,person-role,318,U+1F473 U+200D U+2640 U+FE0F,NEGATIVE,0.9266874194145203
👲,person with skullcap,cap | gua pi mao | hat | person | person with skullcap | skullcap,People & Body,person-role,319,U+1F472,NEGATIVE,0.9878219962120056
🧕,woman with headscarf,headscarf | hijab | mantilla | tichel | woman with headscarf | bandana | head kerchief,People & Body,person-role,320,U+1F9D5,NEGATIVE,0.6478374004364014
🤵,person in tuxedo,groom | person | person in tuxedo | tuxedo,People & Body,person-role,321,U+1F935,NEGATIVE,0.9858323335647583
👰,person with veil,bride | person | person with veil | veil | wedding,People & Body,person-role,322,U+1F470,POSITIVE,0.9197580218315125
🤰,pregnant woman,pregnant | woman,People & Body,person-role,323,U+1F930,NEGATIVE,0.99241042137146
🤱,breast-feeding,baby | breast | breast-feeding | nursing,People & Body,person-role,324,U+1F931,POSITIVE,0.9794700145721436
👼,baby angel,angel | baby | face | fairy tale | fantasy,People & Body,person-fantasy,325,U+1F47C,POSITIVE,0.9998049139976501
🎅,Santa Claus,celebration | Christmas | claus | father | santa | Santa Claus,People & Body,person-fantasy,326,U+1F385,POSITIVE,0.9994620680809021
🤶,Mrs. Claus,celebration | Christmas | claus | mother | Mrs. | Mrs. Claus,People & Body,person-fantasy,327,U+1F936,POSITIVE,0.9984239339828491
🦸,superhero,good | hero | heroine | superhero | superpower,People & Body,person-fantasy,328,U+1F9B8,POSITIVE,0.9970080256462097
🦸‍♂️,man superhero,good | hero | man | man superhero | superpower,People & Body,person-fantasy,329,U+1F9B8 U+200D U+2642 U+FE0F,POSITIVE,0.9978688955307007
🦸‍♀️,woman superhero,good | hero | heroine | superpower | woman | woman superhero,People & Body,person-fantasy,330,U+1F9B8 U+200D U+2640 U+FE0F,POSITIVE,0.9965572357177734
